time_in_sec	annotation	chans
28.2791	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1 RAH2
29.0916	Lt spike	LA1 LA2
32.131	Rt spike	RA1 RA2 RA3 REC1
44.9351	Lt spike	LEC1 LAH1
51.0815	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1
58.8611	Rt spike	REC1
60.5	Rt spike	RAH1 RAH2
61.4027	Lt spike	LEC1
77.5363	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1
79.6863	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1
95.7623	Lt spike	LA1 LA2 LA3 LEC1
96.3	Rt spike	RAH1
97.357	Rt spike	RA1 RA2 REC1
105.3	Rt spike	REC1
109.83	Lt spike	LA1 LEC1 LAH1
110.7266	Lt spike	LEC1 LAH1
112.0953	Rt spike	RA1 RA2 REC1
118.0385	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1 RAH2
124.9744	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1
129.2682	Lt spike	LEC1 LAH1
130.8693	Rt spike	RA1 RA2 REC1
140.6213	Rt spike	RA1 RA2 REC1 RAH1
141.5481	Lt spike	LA1 LA2 LA3 LEC1
144.1282	Rt spike	RA1 RA2 RA3 REC1 REC3 RAH1
146.0953	Rt spike	RA1 RA2 RAH1
175.2225	Rt spike	RA1 RA2 REC1
175.7806	Rt spike	RA1 RA2
178.23	Rt spike	RA1 RA2 RA3 REC1 RAH1
188.6955	Rt spike	RA1 RA2 RA3 REC3 RAH1
191.8337	Rt spike	RA1 RA2 REC1 RAH1
195.7934	Lt spike	LA1 LA2 LA3 LEC1 LAH1 LAH2
196.8639	Lt spike	LEC1
197.788	Rt spike	RA1 RA2 RA3 REC1 REC2 REC3 RAH1 RAH2 RAH3
199.1045	Lt spike	LA1 LA2 LEC1
