time_in_sec	annotation	chans
0.5416	Lt sharp	LA1 LA2 LA3 LH1 LH2
4.2604	Lt sharp	LA1 LA2 LA3 LH1 LH2
7.5833	Lt sharp	LA1 LA2 LA3
8.3541	Lt sharp	LA1 LA2 LA3 LH1 LH2
31.9479	Lt sharp	LA1 LA2 LA3
60.2916	Rt sharp	RH1 RH3
78.5833	Lt sharp	LA1 LA2 LA3
78.875	Lt sharp	LA1 LA2 LA3 LH1 LH2
81.7604	Rt sharp	RH1
82.6145	Lt sharp	LH1
90.0	Lt sharp	LA1
106.7083	Rt sharp	RH1
107.0937	Lt sharp	LA1 LA2 LA3
108.302	Rt sharp	RH1
109.2083	Rt sharp	RH1
112.6458	Rt sharp	RH1
148.0416	Lt sharp	LA1 LA2 LA3
148.4375	Lt sharp	LA1 LA2 LA3 LH1 LH2
152.7083	Lt sharp	LA1
156.6562	Rt sharp	RH1 RH3
160.4166	Rt sharp	RH1
160.677	Lt sharp	LA1 LA2
161.1354	Rt sharp	RH1 RH3
163.5625	Rt sharp	RH1
169.8541	Lt sharp	LH1 LH2
171.927	Lt sharp	LA1 LA2 LA3 LH1 LH2
