time_in_sec	annotation	chans
19.586833	left mesial parahippocampal	LAH2 LAH3 LAH4 LAH5 LAH6 LAH7 LAH8 LPHG1 LPHG2 LPHG3 LPHG4
92.4505	mesial rec	REC1 REC2 REC3
108.583833	rec mesial	REC1 REC2 REC3
110.205167	mesial rec	REC1
124.231333	rec mesial	REC1 REC2 REC3
127.203167	mesial rec	REC1 REC2
141.9	rec	REC1 REC2
142.041333	broad left hip parahip	LAH2 LAH3 LAH4 LAH5 LAH6 LAH7 LAH8 LPHG1 LPHG2 LPHG3 LPHG4 LPHG5 LPHG6 LPHG7 LPHG8
153.263833	mesial left phg	LAH2 LAH3 LPHG1 LPHG2
239.316833	mesial rec	REC1 REC2 REC3 REC4
