onset	duration	trial_type	sample
0.522	0.0	mesial RMO	522
0.576	0.0	mesial RMH	576
0.845	0.0	mesial RMO	845
1.713	0.0	mesial RMO RIOp mesial	1713
5.046	0.0	riop rmo	5046
8.014	0.0	riop rmo rio	8014
28.934	0.0	rio rmo rtp lo	28934
29.29	0.0	rio rmo rtp lo	29290
30.758	0.0	rio rmo rtp	30758
31.289	0.0	broad lo rio rmo Rtp	31289
32.044	0.0	broad lo rio rmo Rtp	32044
32.304	0.0	broad lo rio rmo Rtp	32304
38.683	0.0	RMO RIO	38683
39.025	0.0	RMO RIO	39025
39.478	0.0	RMO RIOP	39478
41.262	0.0	RMO RIOP	41262
41.452	0.0	RMO RIOP LO	41452
42.051	0.0	RMO RIOP LO	42051
43.096	0.0	RMO RIOP LO	43096
45.278	0.0	RIOP	45278
47.809	0.0	riop rmh	47809
52.944	0.0	riop rmh	52944
57.822	0.0	RIOPRMO	57822
59.668	0.0	LO	59668
64.841	0.0	RIOP	64841
64.997	0.0	riop rmo	64997
65.33	0.0	RIOP	65330
66.47	0.0	RIOP	66470
69.944	0.0	rmh	69944
71.426	0.0	RIOP	71426
72.559	0.0	RMO	72559
72.84	0.0	RMO RIOp	72840
73.438	0.0	RIO RMH	73438
74.304	0.0	RIO RMH	74304
75.948	0.0	RIO RMH	75948
76.213	0.0	RIO RMH	76213
76.949	0.0	RIO RMH	76949
77.256	0.0	RMO	77256
77.474	0.0	RMO	77474
79.773	0.0	RMO	79773
80.378	0.0	RIOP	80378
80.884	0.0	RMO	80884
82.249	0.0	broad	82249
82.385	0.0	broad	82385
82.905	0.0	broad	82905
83.342	0.0	broad	83342
85.785	0.0	broad	85785
87.65	0.0	broad	87650
88.096	0.0	broad	88096
88.608	0.0	broad	88608
89.367	0.0	broad	89367
89.759	0.0	broad	89759
90.849	0.0	broad	90849
91.21	0.0	broad	91210
92.893	0.0	broad	92893
93.062	0.0	broad	93062
93.276	0.0	broad	93276
93.664	0.0	broad	93664
93.81	0.0	broad	93810
95.22	0.0	broad	95220
95.371	0.0	broad	95371
95.538	0.0	broad	95538
97.036	0.0	broad	97036
97.316	0.0	broad	97316
98.363	0.0	broad	98363
99.243	0.0	rmh	99243
101.888	0.0	rmo	101888
102.156	0.0	rmo	102156
102.448	0.0	rmo	102448
104.198	0.0	rmo	104198
104.431	0.0	rmo	104431
104.559	0.0	rmo	104559
104.942	0.0	rmo	104942
105.079	0.0	rmo	105079
109.218	0.0	end burst	109218
112.778	0.0	end burst	112778
114.605	0.0	end burst	114605
117.576	0.0	riop	117576
118.737	0.0	rmh	118737
121.3	0.0	riop	121300
126.787	0.0	rmo 	126787
127.114	0.0	riop rmo	127114
