onset	duration	trial_type	sample
28.279	0.0	Rt spike	28279
29.092	0.0	Lt spike	29092
32.131	0.0	Rt spike	32131
44.935	0.0	Lt spike	44935
51.082	0.0	Rt spike	51082
58.861	0.0	Rt spike	58861
60.5	0.0	Rt spike	60500
61.403	0.0	Lt spike	61403
77.536	0.0	Rt spike	77536
79.686	0.0	Rt spike	79686
95.762	0.0	Lt spike	95762
96.3	0.0	Rt spike	96300
97.357	0.0	Rt spike	97357
105.3	0.0	Rt spike	105300
109.83	0.0	Lt spike	109830
110.727	0.0	Lt spike	110727
112.095	0.0	Rt spike	112095
118.038	0.0	Rt spike	118038
124.974	0.0	Rt spike	124974
129.268	0.0	Lt spike	129268
130.869	0.0	Rt spike	130869
140.621	0.0	Rt spike	140621
141.548	0.0	Lt spike	141548
144.128	0.0	Rt spike	144128
146.095	0.0	Rt spike	146095
175.222	0.0	Rt spike	175222
175.781	0.0	Rt spike	175781
178.297	0.0	Rt spike	178297
188.696	0.0	Rt spike	188696
191.834	0.0	Rt spike	191834
195.793	0.0	Lt spike	195793
196.864	0.0	Lt spike	196864
197.788	0.0	Rt spike	197788
199.104	0.0	Lt spike	199104
