onset	duration	trial_type	sample
0.104	0.0	LEC LPHG mesial	104
0.968	0.0	mesial LEC/LPHG	968
1.215	0.0	mesial RPHG	1215
1.735	0.0	mesial LAH/LEC/LPHG	1735
1.872	0.0	mesial LAH/LEC/LPPHG	1872
2.07	0.0	mesial LAH/LEC/LPHG	2070
2.688	0.0	broad  mesialleft bisynchous with mesial	2688
4.57	0.0	mesial LA/LAH/LEC/LPHG	4570
4.765	0.0	left mesial temp	4765
5.457	0.0	mesialLAH/LEC/LPHG	5457
5.854	0.0	REC/RPHG mesial	5854
6.18	0.0	broad right temporal mesial>lat	6180
6.374	0.0	rt mesial plus broad left amygdala	6374
7.662	0.0	mesial left LEC/LPHG	7662
9.033	0.0	broad right ant  temporal	9033
10.14	0.0	broad rt temporal left amy	10140
10.546	0.0	mesial LAH	10546
11.552	0.0	bisynch right mesial plus left amyg	11552
12.095	0.0	rec/rphg	12095
12.302	0.0	rt mesial	12302
12.668	0.0	rt mesial	12668
12.972	0.0	rt mesial plus left amy	12972
13.224	0.0	right mesial	13224
14.296	0.0	lah/lec	14296
14.561	0.0	left lec/lah	14561
14.6	0.0	phg	14600
14.618	0.0	rt mesial temp	14618
15.24	0.0	rt mesial temp	15240
15.491	0.0	lec/lphg mesial	15491
15.786	0.0	rt mesial temporal	15786
16.122	0.0	left mesial temp	16122
16.585	0.0	rt mesial temporal	16585
18.256	0.0	left ah/lec	18256
21.338	0.0	t mes temporal	21338
21.774	0.0	rt mesial temporal	21774
24.232	0.0	rt mesial temporal	24232
26.194	0.0	left mesial	26194
27.583	0.0	rt mesial temporal	27583
29.592	0.0	lec/lphg mesial	29592
30.488	0.0	rt mesial	30488
31.087	0.0	bisynchrous poss left lead	31087
31.876	0.0	left mesial	31876
34.074	0.0	rphg  mesialspread left amy	34074
35.181	0.0	bisynch	35181
36.116	0.0	rt mesial	36116
36.645	0.0	rt mesial	36645
36.808	0.0	rt mesial	36808
37.434	0.0	left mesial temp	37434
37.99	0.0	lphg mesial	37990
38.29	0.0	left mesial temporal	38290
39.729	0.0	left mesial temp	39729
40.51	0.0	rt mesial temporal	40510
43.244	0.0	rt mesial temp	43244
43.989	0.0	left mesial temp	43989
45.498	0.0	rt mesial plus left amy	45498
46.217	0.0	lec mesial burst	46217
46.834	0.0	lec	46834
48.069	0.0	mesial lec	48069
48.506	0.0	mes lec	48506
49.374	0.0	mes lec	49374
49.934	0.0	LAH/LEC mes	49934
50.702	0.0	LAH/LEC mes	50702
52.144	0.0	rt mes temporal left amy	52144
52.849	0.0	rt mes temporal	52849
53.813	0.0	rt mes temp	53813
54.212	0.0	rt mesial temporal	54212
54.576	0.0	rt mesial temporal	54576
56.172	0.0	rt temp plus left am	56172
56.511	0.0	rt temp left a	56511
56.912	0.0	rt temp LA	56912
57.644	0.0	lec/lphg	57644
59.188	0.0	rt temp la	59188
59.66	0.0	rt temp LA	59660
