onset	duration	trial_type	sample
1.427	0.0	Rt spike	1427
20.712	0.0	Lt spike	20712
35.539	0.0	Lt spike	35539
35.815	0.0	Rt spike	35815
36.126	0.0	Rt spike	36126
36.509	0.0	Lt spike	36509
37.608	0.0	Lt spike	37608
42.583	0.0	Lt spike	42583
42.869	0.0	Rt spike	42869
43.363	0.0	Rt spike	43363
44.5	0.0	Lt spike	44500
55.5	0.0	Lt spike	55500
55.854	0.0	Lt spike	55854
57.208	0.0	Lt spike	57208
67.559	0.0	Rt spike	67559
80.811	0.0	Lt spike	80811
87.526	0.0	Rt spike	87526
87.894	0.0	Rt spike	87894
88.141	0.0	Lt spike	88141
92.842	0.0	Rt spike	92842
134.187	0.0	Rt spike	134187
143.759	0.0	Rt spike	143759
146.5	0.0	Rt spike	146500
148.579	0.0	Lt spike	148579
172.387	0.0	Rt spike	172387
173.128	0.0	Rt spike	173128
173.554	0.0	Lt spike	173554
173.851	0.0	Rt spike	173851
180.72	0.0	Rt spike	180720
180.812	0.0	Lt spike	180812
